Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,"(1.0, 1.01, 1.5, 2.0, 2.5, 3.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,150,210,180,180,1.00E-09,"(33.40831308, 24.08623477, 35.87740409, 47.41662535, 43.63740441, 42.88156022)",1
total rna,"(1.0, 1.01, 1.5, 2.0, 2.5, 3.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,150,210,180,180,1.00E-09,"(33.9122092, 24.43896205, 33.40831308, 43.53662519, 46.56000193, 49.48259946)",1
total rna,"(1.0, 1.01, 1.5, 2.0, 2.5, 3.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,150,210,180,180,1.00E-09,"(33.81142998, 24.43896205, 29.42753369, 36.53246905, 41.42026146, 47.51740457)",1
