NTP total (M),Mg (M),RNA after 2h (uM)
0.008,0,29.19157669
0.012,0,32.27209483
0.016,0,33.22558854
0.02,0,25.08421917
0.024,0,23.0305404
0.008,0.01,36.45279803
0.012,0.01,36.30610669
0.016,0.01,45.8410438
0.02,0.01,41.00022957
0.024,0.01,37.77302009
0.008,0.02,32.19874916
0.012,0.02,34.91253896
0.016,0.02,38.87320514
0.02,0.02,39.38662483
0.024,0.02,36.74618071
