Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi,RNA yield (uM),RNA St Dev (uM)
ATP,"(0.00,0.17,0.33,0.50,0.67,0.83,1.00,1.17,1.33,1.50,1.67,1.83,2.00)",300,20,10,10,10,10,0,30,0.006,40,0,0,1118,817,1333,1075,1.00E-09,"(10.77, 10.06, 8.5, 7.26, 6.46, 5.03, 3.58, 2.37, 2.19, 1.49, 1.35, 1.64, 1.31)","(0.16, 0.51, 0.65, 0.59, 0.43, 0.47, 0.82, 0.7, 0.45, 0.27, 0.43, 0.51, 0.41)"
UTP,"(0.00,0.17,0.33,0.50,0.67,0.83,1.00,1.17,1.33,1.50,1.67,1.83,2.00)",300,20,10,10,10,10,0,30,0.006,40,0,0,1118,817,1333,1075,1.00E-09,"(10.57, 10.39, 9.32, 8.59, 8.38, 7.3, 6.03, 4.97, 4.89, 4.29, 3.9, 4.5, 3.78)","(0.35, 1.68, 1.57, 2.09, 2.45, 2.84, 1.61, 1.92, 1.12, 0.98, 0.78, 1.53, 0.72)"
CTP,"(0.00,0.17,0.33,0.50,0.67,0.83,1.00,1.17,1.33,1.50,1.67,1.83,2.00)",300,20,10,10,10,10,0,30,0.006,40,0,0,1118,817,1333,1075,1.00E-09,"(10.2, 9.24, 7.54, 6.01, 4.93, 3.43, 1.88, 0.63, 0.35, 0.02, 0.0, 0.0, 0.0)","(0.72, 1.61, 1.25, 1.76, 1.76, 1.59, 0.61, 0.74, 0.18, 0.16, 0.14, 0.18, 0.12)"
GTP,"(0.00,0.17,0.33,0.50,0.67,0.83,1.00,1.17,1.33,1.50,1.67,1.83,2.00)",300,20,10,10,10,10,0,30,0.006,40,0,0,1118,817,1333,1075,1.00E-09,"(9.75, 9.04, 7.56, 6.26, 5.52, 4.19, 2.82, 1.7, 1.53, 1.0, 1.21, 1.02, 0.72)","(0.43, 1.47, 1.23, 1.68, 1.66, 1.76, 1.29, 0.86, 0.45, 0.25, 0.63, 0.45, 0.51)"
total rna,"(0.00,0.17,0.33,0.50,0.67,0.83,1.00,1.17,1.33,1.50,1.67,1.83,2.00)",300,20,10,10,10,10,0,30,0.006,40,0,0,1118,817,1333,1075,1.00E-09,"(0.03, 1.41, 2.82, 4.76, 6.94, 8.4, 9.16, 11.34, 11.24, 11.9, 11.98, 12.62, 10.93)","(0.31, 0.2, 0.56, 0.41, 0.92, 2.74, 1.64, 3.79, 2.79, 1.84, 2.87, 3.58, 2.0)"
