Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,"(1.0,2.0,3.0,4.0,4.5)",240,5.380266474,10,10,10,10,5,30,0.0005,40,1,1,306,1330,1116,1073,1.00E-09,"(0.416,0.836,1.934,4.014,5.081,5.794)",0.25
total rna,"(0.5,1.0,2.0)",240,10.76053295,10,10,10,10,5,30,0,40,1,1,306,1330,1116,1073,1.00E-09,"(1.132785948,2.357728205,4.005141764)",0.25
total rna,"(0.5,1.0,2.0)",240,10.76053295,10,10,10,10,5,30,0.0005,40,1,1,306,1330,1116,1073,1.00E-09,"(1.763243455,1.657131874,3.237190673)",0.25
total rna,"(0.5,1.0,2.0)",240,10.76053295,10,10,10,10,5,30,0.002,40,1,1,306,1330,1116,1073,1.00E-09,"(0.794186635,1.971111835,2.608516817)",0.25
