Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi,RNA yield (uM),RNA St Dev (uM)
CTP,1,48,9.48,5,5,5,5,0,15,0.006,45,0,0,531,309,692,588,1.00E-09,0,0
CTP,1,96,9.48,5,5,5,5,0,15,0.006,45,0,0,531,309,692,588,1.00E-09,0,0
CTP,1,192,9.48,5,5,5,5,0,15,0.006,45,0,0,531,309,692,588,1.00E-09,0,0
CTP,1,384,9.48,5,5,5,5,0,15,0.006,45,0,0,531,309,692,588,1.00E-09,0,0
CTP,1,768,9.48,5,5,5,5,0,15,0.006,45,0,0,531,309,692,588,1.00E-09,0,0
