Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),output,output st dev
total rna,"(6.0,)",240,5.380266475,10,10,10,10,5,40,0,40,1,1,306,1330,1116,1073,1.00E-09,"(0.0,)",0.25
total rna,"(6.0,)",240,5.380266475,10,10,10,10,5,30,0,40,1,1,306,1330,1116,1073,1.00E-09,"(0.0,)",0.25
total rna,"(6.0,)",240,5.380266475,10,10,10,10,5,40,0.0005,40,1,1,306,1330,1116,1073,1.00E-09,"(0.0,)",0.25
total rna,"(6.0,)",240,5.380266475,10,10,10,10,5,30,0.0005,40,1,1,306,1330,1116,1073,1.00E-09,"(0.0,)",0.25
total rna,"(6.0,)",240,5.380266475,10,10,10,10,5,40,0.002,40,1,1,306,1330,1116,1073,1.00E-09,"(0.0,)",0.25
total rna,"(6.0,)",240,5.380266475,10,10,10,10,5,30,0.002,40,1,1,306,1330,1116,1073,1.00E-09,"(0.0,)",0.25
