Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,"(0.279444444, 0.881666667, 1.483055556, 2.093055556, 2.696666667, 3.318611111)",240,19.442,8,8,8,8,4,26,0.002,40,1,1,531,309,692,588,1.00E-09,"(1.673327207, 3.55888775, 4.851226642, 8.656909337, 9.067816657, 12.69752254)",1.1
total rna,"(0.279444444, 0.881666667, 1.483055556, 2.093055556, 2.696666667, 3.318611111)",240,19.442,8,8,8,8,4,26,0.002,40,1,1,531,309,692,588,1.00E-09,"(1.373473928, 3.779816757, 6.271642458, 9.501126384, 9.971429561, 11.69739751)",1.1
total rna,"(0.279444444, 0.881666667, 1.483055556, 2.093055556, 2.696666667, 3.318611111)",240,19.442,8,8,8,8,4,26,0.002,40,1,1,531,309,692,588,1.00E-09,"(1.92800721, 5.307749391,6.3405446, 9.729571989, 9.44806805, 9.650721409)",1.1
total rna,"(0.279444444, 0.881666667, 1.483055556, 2.093055556, 2.696666667, 3.318611111)",240,19.442,8,8,8,8,4,26,0.002,40,1,1,531,309,692,588,1.00E-09,"(1.153527483, 6.107358135, 8.745045125, 10.55123924, 11.16656853, 10.74431263)",1.1
total rna,"(0.279444444, 0.881666667, 1.483055556, 2.093055556, 2.696666667, 3.318611111)",240,19.442,8,8,8,8,4,26,0.002,40,1,1,531,309,692,588,1.00E-09,"(0.352494024, 4.584141797, 8.173439833, 11.64090021, 12.48000794, 11.49007699)",1.1
