Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,"(1.0,2.0,4.0,6.0)",240,5.380266474,10,10,10,10,5,30,0.0005,40,1,1,306,1330,1116,1073,1.00E-09,"(0.625,1.876,5.547,7.369)","(0.188,0.637,2.262,1.850)"
total rna,"(1.0,2.0,4.0,6.0)",240,5.380266474,10,10,10,10,5,30,0.002,40,1,1,306,1330,1116,1073,1.00E-09,"(0.517,1.278,3.834,8.048)","(0.170,0.330,1.079,1.388)"
total rna,"(1.0,2.0,4.0,6.0)",240,5.380266474,10,10,10,10,5,30,0,40,1,1,306,1330,1116,1073,1.00E-09,"(0.381,0.761,1.060,1.713)","(0.125,0.170,0.082,0.356)"
total rna,"(1.0,2.0,4.0,6.0)",240,5.380266474,10,10,10,10,5,40,0.0005,40,1,1,306,1330,1116,1073,1.00E-09,"(1.169,3.589,6.580,7.260)","(0.262,0.697,0.419,1.358)"
total rna,"(1.0,2.0,4.0,6.0)",240,5.380266474,10,10,10,10,5,40,0.002,40,1,1,306,1330,1116,1073,1.00E-09,"(1.251,4.024,7.124,8.456)","(0.125,0.249,0.249,2.840)"
total rna,"(1.0,2.0,4.0,6.0)",240,5.380266474,10,10,10,10,5,40,0,40,1,1,306,1330,1116,1073,1.00E-09,"(0.952,1.849,2.855,3.399)","(0.094,0.047,0.374,0.125)"
