Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA stdev (uM)
total rna,"(0.015797788, 0.260663507, 0.481832543, 0.979462875, 1.998420221)",240,49.88974367,5,5,5,5,0,50,1,40,0,0,284,225,237,249,1.00E-09,"(0.079352106, 1.74574633, 3.650196873, 7.379745851, 13.2518016)",1
total rna,"(0.015797788, 0.252764613, 0.497630332, 1.011058452, 1.982622433)",240,49.88974367,5,5,5,5,0,50,1,40,0,0,284,225,237,249,1.00E-09,"(0.238056318, 5.475295309, 9.046140076, 12.77568905, 14.44208328)",1
total rna,"(0.039494471, 0.244865719, 0.505529226, 0.987361769, 1.982622433)",240,49.88974367,10,10,10,10,0,100,1,40,0,0,284,225,237,249,1.00E-09,"(0.0, 0.317408424, 0.158704212, 0.317408424, 0.872873165)",1
total rna,"(0.031595577, 0.221169036, 0.450236967, 0.955766193, 1.998420221)",240,49.88974367,10,10,10,10,0,100,1,40,0,0,284,225,237,249,1.00E-09,"(0.158704212, 0.634816847, 1.74574633, 3.808901084, 9.442900605)",1
