NTP total (M),Mg (M),RNA after 2h (uM)
0.04,0.025,0.000743163
0.04,0.035,0.0893217
0.04,0.045,0.287101
0.04,0.055,0.448083
0.04,0.065,0.47322
0.04,0.075,0.495078
0.04,0.085,0.334423
0.04,0.095,0.355844
0.04,0.105,0.223495
0.04,0.115,0.190381
0.04,0.125,0.128305
