NTP total (M),Mg (M),RNA after 2h (uM)
0.04,0.025,0.00135518
0.04,0.035,0.136939
0.04,0.045,0.412018
0.04,0.055,0.500542
0.04,0.065,0.536607
0.04,0.075,0.708191
0.04,0.085,0.672125
0.04,0.095,0.754092
0.04,0.105,0.759556
0.04,0.115,0.70054
0.04,0.125,0.70054
