NTP total (M),Mg (M),RNA after 2h (uM)
0.04,0.025,0.00174862
0.04,0.035,0.133332
0.04,0.045,0.289069
0.04,0.055,0.780321
0.04,0.065,0.799993
0.04,0.075,1.00546
0.04,0.085,0.739884
0.04,0.095,0.869938
0.04,0.105,0.569394
0.04,0.115,0.573765
0.04,0.125,0.442619
