Species,Times (hrs),T7 RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Pyrophosphate (mM),output yield,output std
free mg,"(0.5, 1, 1.5 , 2, 2.5, 3)",240,20,6,6,6,6,0,32,5.00E-02,40,10,2,500,500,500,500,0.000000001,"(13.38420108, 14.01256732, 14.4524237, 15.08078995, 15.70915619, 17.34290844)",2
merck free mg,"(0.5, 1, 1.5 , 2, 2.5, 3)",240,20,6,6,6,6,0,32,5.00E-02,40,10,2,500,500,500,500,0.000000001,"(13.38420108, 14.01256732, 14.4524237, 15.08078995, 15.70915619, 17.34290844)",2
