Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA stdev (uM)
total rna,"(0.0, 0.5, 1.0, 1.01, 1.5, 2.0, 2.01, 2.5, 3.0, 3.5, 3.51, 4.0, 4.5)",500,51.325,8,8,8,8,0,30,1,40,1,2,315,147,280,241,1.00E-09,"(0.192855751, 17.54987335, 23.52840164, 20.73199324, 24.87839189, 30.3747808, 22.94983438, 27.57837241, 29.02479054, 32.59262194, 26.22838215, 29.6033578, 29.21764629)",1
atp,"(0.0, 0.5, 1.0, 1.01, 1.5, 2.0, 2.01, 2.5, 3.0, 3.5, 3.51, 4.0, 4.5)",500,51.325,8,8,8,8,0,30,1,40,1,2,315,147,280,241,1.00E-09,"(8.0, 2.274509804, 0.392156863, 4.274509804, 1.843137255, 0.882352941, 4.862745098, 3.588235294, 2.470588235, 1.764705882, 5.490196078, 4.764705882, 3.960784314)",1
gtp,"(0.0, 0.5, 1.0, 1.01, 1.5, 2.0, 2.01, 2.5, 3.0, 3.5, 3.51, 4.0, 4.5)",500,51.325,8,8,8,8,0,30,1,40,1,2,315,147,280,241,1.00E-09,"(7.980392157, 2.62745098, 0.960784314, 4.745098039, 2.411764706, 1.568627451, 5.333333333, 4.098039216, 3.019607843, 2.274509804, 5.901960784, 5.215686275, 4.529411765)",1
