NTP total (M),Mg (M),RNA after 2h (uM)
0.02,0.01,0
0.04,0.01,0
0.08,0.01,0
0.02,0.075,0.136661466
0.04,0.075,0.239417577
0.08,0.075,0.003785751
0.02,0.14,0.002381695
0.04,0.14,0.003567343
0.08,0.14,0
