NTP total (M),Mg (M),RNA after 2h (uM)
0.02,0.01,0
0.04,0.01,0
0.08,0.01,0
0.02,0.075,0.065626625
0.04,0.075,0.309204368
0.08,0.075,0.008393136
0.02,0.14,0.054394176
0.04,0.14,0.073114925
0.08,0.14,0.002048882
