NTP total (M),Mg (M),RNA after 2h (uM)
0.02,0.01,0.000634425
0.04,0.01,0
0.08,0.01,0
0.02,0.075,0.078419137
0.04,0.075,0.170878835
0.08,0.075,0.002028081
0.02,0.14,0.00224649
0.04,0.14,0.003380135
0.08,0.14,0.007124285
