NTP total (M),Mg (M),RNA after 2h (uM)
0.02,0.01,0
0.04,0.01,0
0.08,0.01,0
0.02,0.075,0.113052522
0.04,0.075,0.27800312
0.08,0.075,0.004378575
0.02,0.14,0.029547582
0.04,0.14,0.051690068
0.08,0.14,0.040665627
