NTP total (M),Mg (M),RNA after 2h (uM)
0.02,0.01,0
0.04,0.01,0
0.08,0.01,0
0.02,0.075,0.021549662
0.04,0.075,0.040353614
0.08,0.075,0
0.02,0.14,0.001726469
0.04,0.14,0.001768071
0.08,0.14,0.002891316
