NTP total (M),Mg (M),RNA after 2h (uM)
0.02,0.01,0
0.04,0.01,0
0.08,0.01,0
0.02,0.075,0.039417577
0.04,0.075,0.223712949
0.08,0.075,0.010462819
0.02,0.14,0.034945398
0.04,0.14,0.064794592
0.08,0.14,0.086323453
