Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA stdev (uM)
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5)",64,4.48865,4,4,4,4,0,12,1,40,1,2,1124,1124,1124,1124,1.00E-09,"(0.0, 1.19619301, 2.052005895, 2.431286606, 3.394076102, 4.551368526, 3.598304176, 4.298514719, 3.18012288, 4.210988401, 4.045660912, 5.562783754)",1
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5)",64,4.48865,4,4,4,4,0,12,1,40,1,2,1124,1124,1124,1124,1.00E-09,"(0.0, 1.19619301, 2.052005895, 1.98392987, 2.363210581, 2.674415266, 2.868918195, 2.761941584, 2.917543927, 3.063421123, 2.460462045, 2.538263216)",1
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5)",64,4.48865,8,8,8,8,0,30,1,40,1,2,1124,1124,1124,1124,1.00E-09,"(0.0, 1.244818742, 2.110356774, 3.462152126, 4.084561498, 5.037625847, 5.864263293, 6.25326915, 5.261304215, 5.640584925, 5.718386097, 6.49639781)",1
