Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA stdev (uM)
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.252525253, 2.5, 2.752525253, 3.0, 3.025252525, 3.252525253, 3.505050505, 4.0, 4.505050505, 5.005050505, 5.505050505, 6.005050505)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(0.0, 3.999907923, 8.269472562, 7.640273562, 9.617756132, 12.40420884, 10.78626856, 11.37052477, 12.31432327, 8.629014847, 9.078442702, 9.258213844, 10.83121134, 12.31432327, 13.4828357, 14.78617648, 18.24677098)",1
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.252525253, 2.5, 2.752525253, 3.0, 3.025252525, 3.252525253, 3.505050505, 4.0, 4.505050505, 5.005050505, 5.505050505, 6.005050505)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(0.0, 3.999907923, 8.269472562, 7.640273562, 9.617756132, 12.40420884, 10.78626856, 11.37052477, 12.31432327, 8.584072061, 8.629014847, 9.437984987, 9.662698917, 10.87615413, 10.0222412, 10.60649741, 9.572813346)",1
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 2.515151515, 3.252525253, 3.752525253, 4.252525253, 4.752525253)",64,20.53,8,8,8,8,0,30,1,40,1,2,315,147,280,241,1.00E-09,"(0.0, 6.381875563, 10.24695513, 13.39295013, 18.78608441, 18.20182819, 15.95468891, 19.37034062, 20.62873862, 21.70736547, 23.32530575)",1
total rna,"(0.0, 0.5, 1.0, 1.5, 1.515151515, 2.0, 2.5, 2.515151515, 3.0, 3.5, 4.01010101, 5.01010101)",320,102.65,8,8,8,8,0,30,1,40,1,2,315,147,280,241,1.00E-09,"(0.0, 10.0222412, 17.57262919, 23.37024854, 18.1568854, 24.58370375, 25.57244504, 24.08933311, 27.59487039, 28.80832561, 29.16786789, 29.88695246)",1
