Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA stdev (uM)
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.01, 2.5, 3.0, 3.49999998, 4.0, 4.01, 4.5, 5.0, 5.5, 6.0)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(0.0, 3.938842273, 5.969173341, 8.161930895, 9.380129536, 7.99950441, 8.567997109, 11.08560763, 10.43590169, 10.59832818, 9.908015614, 9.623769264, 10.88257453, 10.96378777, 11.45106723)",1
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.01, 2.5, 3.0, 3.49999998, 4.0, 4.01, 4.5, 5.0, 5.5, 6.0)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(0.0, 3.938842273, 5.969173341, 8.161930895, 9.380129536, 7.634044817, 10.55772156, 14.37474396, 15.67415585, 16.48628828, 16.89235449, 15.18687639, 19.69421136, 20.26270406, 22.94274107)",1
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(0.0, 3.938842273, 5.969173341, 8.161930895, 9.380129536)",1
atp,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.01, 2.5, 3.0, 3.49999998, 4.0, 4.01, 4.5, 5.0, 5.5, 6.0)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(3.987096774, 3.032258065, 2.348387097, 1.948387097, 1.35483871, 2.805970149, 2.63880597, 2.794029851, 2.48358209, 2.292537313, 3.952238806, 3.629850746, 4.035820896, 3.988059701, 4.095522388)",0.4
atp,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.01, 2.5, 3.0, 3.49999998, 4.0, 4.01, 4.5, 5.0, 5.5, 6.0)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(3.987096774, 3.032258065, 2.348387097, 1.948387097, 1.35483871, 2.812903226, 2.464516129, 1.677419355, 1.44516129, 1.032258065, 3.161290323, 2.077419355, 1.741935484, 1.496774194, 1.148387097)",0.4
atp,"(0.0, 0.5, 1.0, 1.5, 2.0)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(3.987096774, 3.032258065, 2.348387097, 1.948387097, 1.35483871)",0.4
gtp,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.01, 2.5, 3.0, 3.49999998, 4.0, 4.01, 4.5, 5.0, 5.5, 6.0)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(4.0, 3.070967742, 2.412903226, 2.0, 1.509677419, 2.997014925, 2.817910448, 3.008955224, 2.63880597, 2.507462687, 4.167164179, 3.832835821, 4.274626866, 4.214925373, 4.32238806)",0.4
gtp,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.01, 2.5, 3.0, 3.49999998, 4.0, 4.01, 4.5, 5.0, 5.5, 6.0)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(4.0, 3.070967742, 2.412903226, 2.0, 1.509677419, 2.980645161, 2.619354839, 1.948387097, 1.729032258, 1.329032258, 3.458064516, 2.361290323, 2.103225806, 1.75483871, 1.561290323)",0.4
gtp,"(0.0, 0.5, 1.0, 1.5, 2.0)",64,20.53,4,4,4,4,0,12,1,40,1,2,315,147,280,241,1.00E-09,"(4.0, 3.070967742, 2.412903226, 2.0, 1.509677419)",0.4
