Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Pyrophosphate (mM),output yield,outputstd
38mer,"(0.096385542, 0.381161008, 1.047097481, 1.853231106, 3.82475356)",225,800,9,7.2,12,12,0,75.2,0,46.5,0,0,6.770909091,5.112727273,12.29818182,13.81818182,0.000000001,"(21.77419355, 100.0, 237.0967742, 288.7096774, 281.4516129)",0.01
38mer,"(0.04381161, 0.267250821, 0.442497262, 1.047097481, 1.853231106, 3.82475356)",225,800,10.5,8.4,15,15,0,91.1,0,58.6,0,0,6.770909091,5.112727273,12.29818182,13.81818182,0.000000001,"(7.258064516, 45.96774194, 83.87096774, 214.516129, 283.8709677, 308.8709677)",0.01
38mer,"(0.105147864, 0.297918949, 0.495071194, 0.714129244, 1.047097481, 1.323110624, 1.857612267, 2.243154436, 2.47973713, 2.834611172, 3.21577218, 3.627601314, 4.074479737)",225,800,6,6,2,5,0,38,0,6,0,0,6.770909091,5.112727273,12.29818182,13.81818182,0.000000001,"(24.19354839, 75.80645161, 126.6129032, 163.7096774, 217.7419355, 262.0967742, 305.6451613, 363.7096774, 384.6774194, 395.9677419, 398.3870968, 417.7419355, 449.1935484)",0.01
gtp,"(0.220440882, 0.280561122, 0.521042084, 0.801603206, 1.182364729, 1.723446894, 2.184368737, 3.106212425, 3.70741483, 4.148296593, 4.729458918, 5.390781563, 6.052104208, 6.773547094, 11.34268537)",225,800,6,6,2,5,0,38,0,6,0,0,6.770909091,5.112727273,12.29818182,13.81818182,0.000000001,"(4.966542751, 4.817843866, 5.412639405, 4.788104089, 6.007434944, 6.007434944, 5.353159851, 7.405204461, 5.17472119, 4.401486989, 3.390334572, 2.319702602, 1.457249071, 0.802973978, 0.267657993)",0.01
ph,"(0.240480962, 0.280561122, 0.300601202, 0.360721443, 0.420841683, 0.561122244, 0.641282565, 0.641282565, 0.701402806, 0.801603206, 0.841683367, 0.921843687, 0.881763527, 0.981963928, 1.122244489, 1.182364729, 1.28256513, 1.382765531, 1.402805611, 1.482965932, 1.482965932, 1.543086172, 1.663326653, 1.763527054, 1.783567134, 1.823647295, 1.963927856, 1.983967936, 2.024048096, 2.044088176, 2.084168337, 2.124248497, 2.144288577, 2.204408818, 2.244488978, 2.284569138, 2.364729459, 2.384769539, 2.424849699, 2.50501002, 2.685370741, 2.845691383, 3.026052104, 3.106212425, 3.146292585, 3.166332665, 3.206412826, 3.266533066, 3.266533066, 3.406813627, 3.446893788, 3.527054108, 3.587174349, 3.647294589, 3.687374749, 3.74749499, 3.78757515, 3.887775551, 3.907815631, 4.128256513, 4.248496994, 4.348697395, 4.448897796, 4.509018036, 4.569138277, 4.669338677, 4.769539078, 4.829659319, 4.909819639, 5.01002004, 5.070140281, 5.070140281, 5.110220441, 5.190380762, 5.230460922, 5.310621242, 5.390781563, 5.430861723, 5.470941884, 5.490981964, 5.551102204, 5.551102204, 5.711422846, 5.751503006, 5.851703407, 5.931863727, 6.012024048, 6.032064128, 6.112224449, 6.21242485, 6.27254509, 6.392785571, 6.492985972, 6.633266533, 6.713426854, 6.733466934, 6.773547094, 6.773547094, 6.813627255, 6.993987976, 7.074148297, 7.214428858, 7.394789579, 7.53507014, 7.715430862, 7.815631263, 7.935871743, 7.995991984, 7.995991984, 8.056112224, 8.096192385, 8.296593186, 8.496993988, 8.75751503, 8.937875752, 9.118236473, 9.258517034, 9.478957916, 9.599198397, 9.719438878, 9.859719439, 10.08016032, 10.24048096, 10.34068136, 10.44088176, 10.501002, 10.501002, 10.74148297, 10.78156313, 10.88176353, 11.16232465, 11.24248497, 11.26252505, 11.28256513, 11.30260521, 11.32264529, 0.160320641, 0.220440882)",225,800,6,6,2,5,0,38,0,6,0,0,6.770909091,5.112727273,12.29818182,13.81818182,0.000000001,"(7.305747126, 7.404597701, 7.445977011, 7.326436782, 7.379310345, 7.397701149, 7.436781609, 7.489655172, 7.52183908, 7.468965517, 7.406896552, 7.473563218, 7.314942529, 7.393103448, 7.374712644, 7.363218391, 7.517241379, 7.445977011, 7.383908046, 7.349425287, 7.308045977, 7.344827586, 7.370114943, 7.393103448, 7.485057471, 7.586206897, 7.512643678, 7.462068966, 7.418390805, 7.377011494, 7.337931034, 7.328735632, 7.367816092, 7.397701149, 7.44137931, 7.457471264, 7.4, 7.363218391, 7.326436782, 7.310344828, 7.35862069, 7.390804598, 7.409195402, 7.427586207, 7.473563218, 7.508045977, 7.618390805, 7.749425287, 7.859770115, 7.804597701, 7.728735632, 7.682758621, 7.595402299, 7.533333333, 7.47816092, 7.429885057, 7.377011494, 7.370114943, 7.324137931, 7.310344828, 7.255172414, 7.232183908, 7.28045977, 7.363218391, 7.48045977, 7.436781609, 7.390804598, 7.344827586, 7.317241379, 7.347126437, 7.411494253, 7.466666667, 7.505747126, 7.445977011, 7.411494253, 7.377011494, 7.344827586, 7.333333333, 7.386206897, 7.434482759, 7.491954023, 7.508045977, 7.450574713, 7.411494253, 7.363218391, 7.340229885, 7.31954023, 7.406896552, 7.48045977, 7.436781609, 7.406896552, 7.372413793, 7.349425287, 7.31954023, 7.342528736, 7.395402299, 7.43908046, 7.47816092, 7.533333333, 7.489655172, 7.450574713, 7.404597701, 7.374712644, 7.356321839, 7.331034483, 7.31954023, 7.310344828, 7.363218391, 7.427586207, 7.464367816, 7.498850575, 7.475862069, 7.452873563, 7.443678161, 7.464367816, 7.452873563, 7.434482759, 7.413793103, 7.397701149, 7.370114943, 7.347126437, 7.328735632, 7.324137931, 7.32183908, 7.416091954, 7.475862069, 7.508045977, 7.508045977, 7.563218391, 7.602298851, 7.602298851, 7.634482759, 7.689655172, 7.749425287, 7.786206897, 7.83908046, 7.195402299, 7.257471264)",0.01
volume,13,225,800,6,6,2,5,0,38,0,6,0,0,6.770909091,5.112727273,12.29818182,13.81818182,0.000000001,0,0.01
