Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Pyrophosphate (mM),output yield,outputstd
dodecamer,"(0.14, 0.34, 0.8, 1.95, 3.42)",800,600,0.000000001,5.6,9.1,14,0,53.2,0,40,0,0,0,2,3.939393939,6.060606061,0.000000001,"(253.9184953, 702.1943574, 1075.23511, 1078.369906, 1078.369906)",0.01
dodecamer,"(0.14, 0.34, 0.8, 1.95, 3.42)",800,600,0.000000001,8.4,13.65,21,0,77.3,0,53,0,0,0,2,3.939393939,6.060606061,0.000000001,"(106.5830721, 322.8840125, 968.6520376, 1451.410658, 1470.219436)",0.01
dodecamer,"(0.1, 0.36, 0.66, 0.95, 1.333333333, 1.729847495, 2.178649237, 2.518518519, 3.4291939, 4.039215686)",800,600,0.000000001,6,4,7,0,29.7,0,10,0,0,0,2,3.939393939,6.060606061,0.000000001,"(159.8746082, 463.9498433, 755.4858934, 943.5736677, 1159.874608, 1347.962382, 1510.971787, 1557.99373, 1805.642633, 1614.420063)",0.01
utp,"(0.084345479, 0.337381916, 0.632591093, 0.936234818, 1.307354926, 1.712213225, 2.159244265, 2.505060729, 3.424426451, 4.0317139)",800,600,0.000000001,6,4,7,0,29.7,0,10,0,0,0,2,3.939393939,6.060606061,0.000000001,"(5.338078292, 5.800711744, 5.231316726, 5.338078292, 5.444839858, 5.729537367, 5.658362989, 5.800711744, 4.09252669, 5.053380783)",0.01
ctp,"(0.084345479, 0.337381916, 0.632591093, 0.936234818, 1.307354926, 1.712213225, 2.159244265, 2.505060729, 3.424426451, 4.0317139)",800,600,0.000000001,6,4,7,0,29.7,0,10,0,0,0,2,3.939393939,6.060606061,0.000000001,"(2.669039146, 3.701067616, 2.669039146, 2.882562278, 3.024911032, 3.487544484, 3.34519573, 3.701067616, 0.355871886, 1.03202847)",0.01
gtp,"(0.084345479, 0.337381916, 0.632591093, 0.936234818, 1.307354926, 1.712213225, 2.159244265, 2.505060729, 3.424426451, 4.0317139)",800,600,0.000000001,6,4,7,0,29.7,0,10,0,0,0,2,3.939393939,6.060606061,0.000000001,"(5.37366548, 6.975088968, 5.693950178, 6.085409253, 6.548042705, 7.580071174, 7.544483986, 8.220640569, 3.380782918, 1.992882562)",0.01
ph,"(0.0, 0.026824034, 0.044706724, 0.053648069, 0.053648069, 0.080472103, 0.089413448, 0.089413448, 0.098354793, 0.116237482, 0.134120172, 0.134120172, 0.152002861, 0.178826896, 0.20565093, 0.241416309, 0.259298999, 0.268240343, 0.286123033, 0.295064378, 0.312947067, 0.330829757, 0.330829757, 0.339771102, 0.357653791, 0.357653791, 0.41130186, 0.402360515, 0.420243205, 0.438125894, 0.447067239, 0.456008584, 0.473891273, 0.482832618, 0.491773963, 0.518597997, 0.536480687, 0.545422031, 0.545422031, 0.590128755, 0.608011445, 0.61695279, 0.61695279, 0.634835479, 0.652718169, 0.679542203, 0.706366237, 0.706366237, 0.724248927, 0.751072961, 0.768955651, 0.78683834, 0.813662375, 0.831545064, 0.849427754, 0.858369099, 0.876251788, 0.894134478, 0.929899857, 0.956723891, 0.974606581, 0.99248927, 1.019313305, 1.055078684, 1.072961373, 1.090844063, 1.126609442, 1.162374821, 1.207081545, 1.207081545, 1.224964235, 1.242846924, 1.269670959, 1.296494993, 1.359084406, 1.376967096, 1.40379113, 1.42167382, 1.448497854, 1.484263233, 1.520028612, 1.546852647, 1.582618026, 1.600500715, 1.618383405, 1.654148784, 1.672031474, 1.707796853, 1.716738197, 1.734620887, 1.770386266, 1.788268956, 1.81509299, 1.83297568, 1.859799714, 1.877682403, 1.904506438, 1.931330472, 1.958154506, 1.976037196, 2.011802575, 2.047567954, 2.074391989, 2.092274678, 2.119098712, 2.145922747, 2.181688126, 2.217453505, 2.262160229, 2.297925608, 2.315808298, 2.333690987, 2.369456366, 2.43204578, 2.467811159, 2.485693848, 2.512517883, 2.530400572, 2.557224607, 2.584048641, 2.61981402, 2.646638054, 2.673462089, 2.718168813, 2.744992847, 2.780758226, 2.798640916, 2.816523605, 2.843347639, 2.852288984, 2.870171674, 2.888054363, 2.932761087, 2.968526466, 2.986409156, 3.022174535, 3.040057225, 3.066881259, 3.102646638, 3.129470672, 3.147353362, 3.165236052, 3.192060086, 3.21888412, 3.23676681, 3.245708155, 3.272532189, 3.308297568, 3.335121602, 3.379828326, 3.415593705, 3.451359084, 3.469241774, 3.487124464, 3.513948498, 3.531831187, 3.567596567, 3.61230329, 3.639127325, 3.674892704, 3.746423462, 3.782188841, 3.81795422, 3.83583691, 3.862660944, 3.871602289, 3.871602289, 3.907367668, 3.961015737, 3.996781116, 4.02360515, 4.04148784, 4.050429185, 4.068311874, 4.077253219, 4.113018598, 4.121959943, 4.166666667)",800,600,0.000000001,6,4,7,0,29.7,0,10,0,0,0,2,3.939393939,6.060606061,0.000000001,"(7.769470405, 7.735202492, 7.660436137, 7.588785047, 7.54517134, 7.523364486, 7.476635514, 7.414330218, 7.361370717, 7.320872274, 7.277258567, 7.22741433, 7.205607477, 7.261682243, 7.302180685, 7.330218069, 7.361370717, 7.3894081, 7.423676012, 7.433021807, 7.451713396, 7.479750779, 7.498442368, 7.517133956, 7.53894081, 7.566978193, 7.563862928, 7.517133956, 7.476635514, 7.451713396, 7.420560748, 7.3894081, 7.364485981, 7.339563863, 7.323987539, 7.358255452, 7.398753894, 7.429906542, 7.451713396, 7.451713396, 7.417445483, 7.3894081, 7.370716511, 7.370716511, 7.3894081, 7.411214953, 7.442367601, 7.46728972, 7.429906542, 7.408099688, 7.386292835, 7.361370717, 7.339563863, 7.373831776, 7.404984424, 7.433021807, 7.46728972, 7.489096573, 7.46105919, 7.426791277, 7.398753894, 7.361370717, 7.336448598, 7.367601246, 7.408099688, 7.439252336, 7.485981308, 7.492211838, 7.457943925, 7.423676012, 7.398753894, 7.364485981, 7.339563863, 7.330218069, 7.370716511, 7.414330218, 7.439252336, 7.46728972, 7.492211838, 7.501557632, 7.470404984, 7.439252336, 7.408099688, 7.386292835, 7.361370717, 7.339563863, 7.314641745, 7.348909657, 7.373831776, 7.53894081, 7.523364486, 7.495327103, 7.464174455, 7.436137072, 7.417445483, 7.3894081, 7.367601246, 7.345794393, 7.339563863, 7.429906542, 7.436137072, 7.439252336, 7.420560748, 7.398753894, 7.386292835, 7.37694704, 7.485981308, 7.46728972, 7.448598131, 7.423676012, 7.398753894, 7.367601246, 7.342679128, 7.352024922, 7.380062305, 7.445482866, 7.501557632, 7.523364486, 7.489096573, 7.45482866, 7.433021807, 7.404984424, 7.38317757, 7.361370717, 7.342679128, 7.323987539, 7.355140187, 7.38317757, 7.417445483, 7.448598131, 7.470404984, 7.492211838, 7.46728972, 7.448598131, 7.429906542, 7.408099688, 7.386292835, 7.370716511, 7.345794393, 7.339563863, 7.370716511, 7.392523364, 7.411214953, 7.439252336, 7.464174455, 7.485981308, 7.504672897, 7.482866044, 7.46728972, 7.448598131, 7.436137072, 7.429906542, 7.445482866, 7.46728972, 7.479750779, 7.408099688, 7.38317757, 7.364485981, 7.361370717, 7.339563863, 7.342679128, 7.327102804, 7.345794393, 7.364485981, 7.380062305, 7.355140187, 7.336448598, 7.320872274, 7.317757009, 7.348909657, 7.386292835, 7.411214953, 7.448598131, 7.485981308, 7.510903427, 7.526479751, 7.535825545, 7.53271028)",0.01
volume,4.2,800,600,0.000000001,6,4,7,0,29.7,0,10,0,0,0,2,3.939393939,6.060606061,0.000000001,0,0.01
