Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Pyrophosphate (mM),output yield,outputstd
ph,"(0.002808989,0.056179775,0.092696629,0.148876404,0.224719101,0.314606742,0.390449438,0.497191011,0.584269663,0.710674157,0.848314607,1.025280899,1.221910112,1.379213483,1.598314607,1.789325843,2.016853933,2.196629213,2.5)",400,500,0.000000001,6,6.5,10,0,32.5,0.1,40,0,0,0,1.65,3.25,5,0.000000001,"(7.830456853,7.775634518,7.741116751,7.693401015,7.644670051,7.594923858,7.557360406,7.503553299,7.464974619,7.422335025,7.381725888,7.34213198,7.310659898,7.295431472,7.286294416,7.276142132,7.273096447,7.274111675,7.274111675)",0.01
total rna,"(3.0,)",400,500,0.000000001,6,6.5,10,0,32.5,0.1,40,0,0,0,1.65,3.25,5,0.000000001,"(7.0,)",0.01
