Species,Times (hrs),SP6 RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Pyrophosphate (mM),output yield,outputstd
total rna,"(0.5, 1.0, 2.0, 4.0)",81.2,5.633,0.5,0.5,0.5,0.5,0,6,2.00E-03,42.5,10,2,444,444,444,444,0.000000001,"(0.434945283, 0.696682268, 0.985362766, 1.116231258)","(0.113547662, 0.109698589, 0.105849516, 0.092377759)"
total rna,"(0.25,0.5,0.75,1.0)",81.2,0.0909,1.75,1.75,1.75,1.75,0,11,2.00E-03,42.5,10,2,444,444,444,444,0.000000001,"(0.010875873, 0.02071214, 0.029668741, 0.040144765)","(0.0044783, 0.006237633, 0.005198027, 0.006397572)"
