Species,Times (hrs),SP6 RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Pyrophosphate (mM),output yield,outputstd
total rna,"(0.5,)",81.2,605.7,10,10,10,10,5,40,2.00E-02,42.5,10,2,306,1330,1116,1073,0.000000001,0,0.015358982
total rna,"(0.5,)",150,605.7,10,10,10,10,5,40,2.00E-02,42.5,10,2,306,1330,1116,1073,0.000000001,0,0.015358982
